iter	Logloss
123	0.139907877
124	0.1396157548
125	0.1385640806
126	0.1381243341
127	0.137216917
128	0.136322338
129	0.1360353547
130	0.1354390224
131	0.135199255
132	0.1345254396
133	0.1342799634
134	0.1337254817
135	0.1333710425
136	0.1328727661
137	0.1322519759
138	0.1319697766
139	0.1315632059
140	0.1311741475
141	0.1307039122
142	0.1301895906
143	0.1294450859
144	0.1286549082
145	0.1280065535
146	0.1274061687
147	0.1266085118
148	0.1258230708
149	0.1251526846
150	0.1244691106
151	0.1239753573
152	0.123453375
153	0.1226342894
154	0.1222204892
155	0.1218904238
156	0.1215393067
157	0.1208561723
158	0.1205355203
159	0.1199560468
160	0.1195055797
161	0.1191694662
162	0.1186649977
163	0.1185151458
164	0.1182317982
165	0.1179035651
166	0.117188815
167	0.1170042143
168	0.1163016708
169	0.1157205478
170	0.1152352825
171	0.1142767358
172	0.1138492549
173	0.1135329553
174	0.1129613239
175	0.1127727469
176	0.1121833786
177	0.1117177219
178	0.1114946335
179	0.1112896445
180	0.1106716785
181	0.1103968846
182	0.1099640822
183	0.1097039062
184	0.1093040892
185	0.1091159006
186	0.1086491737
187	0.108103896
188	0.1078778944
189	0.107476529
190	0.1069441758
191	0.1066083237
192	0.1060797235
193	0.1057172339
194	0.105462519
195	0.1052602481
196	0.1047195436
197	0.1044922456
198	0.1039112986
199	0.1036238083
200	0.1033546691
201	0.1027168936
202	0.1023740013
203	0.1019875794
204	0.1015662157
205	0.1010423361
206	0.100339731
207	0.09991014883
208	0.0995253149
209	0.09907519926
210	0.09879364795
211	0.09821360969
212	0.09780464676
213	0.09745446925
214	0.09702937999
215	0.09657999485
216	0.09632974601
217	0.09594051433
218	0.09573761496
219	0.09545600787
220	0.09505372543
221	0.0945121443
222	0.09417622176
223	0.09385101932
224	0.09352515032
225	0.09286754322
226	0.09257546619
227	0.09214601218
228	0.09180984319
229	0.09153454888
230	0.09137203921
231	0.09081567636
232	0.0903849769
233	0.08992006978
234	0.08958783749
235	0.08928566639
236	0.08899102569
237	0.08872294559
238	0.08850477771
239	0.0880630053
240	0.08775108527
241	0.08738107315
242	0.08713885164
243	0.08668390367
244	0.08648404081
245	0.08620036833
246	0.0857013997
247	0.08508023821
248	0.08482448461
249	0.08460174703
250	0.08445629273
251	0.08407436073
252	0.08378019404
253	0.08346405957
254	0.08317775909
255	0.08274946542
256	0.08240296814
257	0.08200865488
258	0.08182175231
259	0.08153858381
260	0.08129644687
261	0.08091657206
262	0.08075292258
263	0.08052572531
264	0.08007994234
265	0.07979864516
266	0.07939394576
267	0.07912528904
268	0.07889255702
269	0.07856402298
270	0.07809391134
271	0.07787499193
272	0.0776676712
273	0.0773947284
274	0.07711023123
275	0.07682067115
276	0.07665882855
277	0.07643468867
278	0.0758975847
279	0.07558304236
280	0.07530259972
281	0.07511747023
282	0.07492477666
283	0.07472902431
284	0.07430260323
285	0.07404847806
286	0.07367362863
287	0.0733587386
288	0.072883855
289	0.07269258737
290	0.07241046072
291	0.07210185196
292	0.07191284783
293	0.07169508823
294	0.07143519042
295	0.07115646607
296	0.07086888942
297	0.07057690624
298	0.07026792668
299	0.07008899597
300	0.06991978161
301	0.06970032082
302	0.0695444859
303	0.06932627036
304	0.06915654357
305	0.06901937934
306	0.06879692969
307	0.06865945994
308	0.06839672407
309	0.06781193488
310	0.0676650434
311	0.06742810679
312	0.06717547656
313	0.06683242501
314	0.06672593812
315	0.06648398766
316	0.06625980927
317	0.06603384202
318	0.06572933181
319	0.06550248453
320	0.06534926906
321	0.0650830566
322	0.06498903636
323	0.0646795541
324	0.06447823638
325	0.06434915018
326	0.0641223622
327	0.06390030519
328	0.06367588237
329	0.06341656607
330	0.06328964003
331	0.06316173606
332	0.06299841791
333	0.06283968812
334	0.06263896766
335	0.06238376235
336	0.06207955121
337	0.06193997473
338	0.06174643716
339	0.06162174146
340	0.06153480126
341	0.06135468892
342	0.06111060312
343	0.06093822956
344	0.06075689606
345	0.06058976317
346	0.06044999093
347	0.06023617337
348	0.06009671919
349	0.05987796121
350	0.05968575976
351	0.05952483491
352	0.05944076699
353	0.05923498043
354	0.05912888389
355	0.05894458179
356	0.05871421565
357	0.05859410782
358	0.05850882335
359	0.0582058952
360	0.05802441972
361	0.05799527453
362	0.05780170268
363	0.05751173954
364	0.05735276684
365	0.05730215413
366	0.05708329047
367	0.05691671628
368	0.05673555263
369	0.05653582211
370	0.05634801642
371	0.0561802529
372	0.05601213469
373	0.05577652006
374	0.0556301609
375	0.0554581002
376	0.05529990772
377	0.05509446498
378	0.05495505863
379	0.05483713107
380	0.05467672335
381	0.05452762844
382	0.05437578489
383	0.05416947713
384	0.0540098759
385	0.05390011788
386	0.05371647946
387	0.0535947184
388	0.05343681111
389	0.05306847658
390	0.05291423452
391	0.05277130536
392	0.05264860945
393	0.05244732376
394	0.05228677383
395	0.05203913522
396	0.05196281103
397	0.05182334533
398	0.05170175685
399	0.05156443916
400	0.05139522117
401	0.05128605273
402	0.05116707115
403	0.05103314622
404	0.05093352387
405	0.05083217972
406	0.05068405428
407	0.0505716491
408	0.05044333802
409	0.05025675794
410	0.05010358078
411	0.05008299044
412	0.05000529455
413	0.04988074745
414	0.04967320494
415	0.04950418257
416	0.0494123197
417	0.04931389139
418	0.04917791771
419	0.04915938082
420	0.04903315799
421	0.04889912124
422	0.04879507201
423	0.04869853139
424	0.04860574476
425	0.04849309628
426	0.0484022786
427	0.04826147466
428	0.04814510411
429	0.04804206465
430	0.04791060734
431	0.04774616443
432	0.04772773754
433	0.04765359486
434	0.04754282068
435	0.04737913825
436	0.0472389771
437	0.04706049985
438	0.0470358908
439	0.0469398663
440	0.04683653764
441	0.04677837408
442	0.04668206775
443	0.04655955746
444	0.04645172455
445	0.04635951504
446	0.04629547506
447	0.04619546702
448	0.04606857661
449	0.04598667843
450	0.0459078358
451	0.04581308964
452	0.04570755917
453	0.0456060219
454	0.04540371452
455	0.04534831574
456	0.0452577652
457	0.04513393928
458	0.04497479409
459	0.04490527526
460	0.04479913464
461	0.04467633626
462	0.04458532803
463	0.04448418863
464	0.04437707156
465	0.04426779982
466	0.04417650381
467	0.04406342875
468	0.04391674635
469	0.04381949613
470	0.04378675346
471	0.04368248466
472	0.04361318168
473	0.04345788367
474	0.04335125777
475	0.04321943955
476	0.04303668219
477	0.04295494637
478	0.04283349923
479	0.04270570431
480	0.04263135838
481	0.04255396999
482	0.04245095863
483	0.04230941509
484	0.0421931213
485	0.0421536537
486	0.04204185829
487	0.04197084529
488	0.04189679182
489	0.04175499198
490	0.04164599657
491	0.04156652331
492	0.04152815365
493	0.0413837231
494	0.0413088375
495	0.04114867547
496	0.04101648338
497	0.04092967618
498	0.04087848829
499	0.04081895307
500	0.04074250388
501	0.04058505751
502	0.04050617935
503	0.04038905916
504	0.04033368155
505	0.04028732752
506	0.04021015624
507	0.03996517861
508	0.03985088714
509	0.03976041129
510	0.0396886797
511	0.03959124929
512	0.03953918975
513	0.03952256934
514	0.03933535956
515	0.03923279121
516	0.03911201422
517	0.03900589132
518	0.03890043004
519	0.03882493385
520	0.03873957685
521	0.03865549802
522	0.03854748731
523	0.03844564853
524	0.03834467454
525	0.03824009285
526	0.03819483415
527	0.03808052042
528	0.03801627122
529	0.03792174437
530	0.03788069562
531	0.03780524748
532	0.03774460462
533	0.03765358269
534	0.03759320121
535	0.03746240275
536	0.03738203034
537	0.03731008719
538	0.03718885285
539	0.03714077942
540	0.03706155653
541	0.03697950528
542	0.03690690706
543	0.03680601458
544	0.03671703548
545	0.03663832778
546	0.03652761135
547	0.03644605878
548	0.03633100163
549	0.0362797019
550	0.0362123842
551	0.03610934261
552	0.03599467649
553	0.03593696594
554	0.03586343259
555	0.03579345035
556	0.03570424938
557	0.03564558089
558	0.03555177792
559	0.03551130347
560	0.03542029869
561	0.03533456188
562	0.03527627351
563	0.03521749874
564	0.03515484386
565	0.03512065521
566	0.0350217281
567	0.03493310074
568	0.03486457741
569	0.03478049293
570	0.0347341267
571	0.0346890686
572	0.0346116428
573	0.03453388409
574	0.03448727139
575	0.03445485638
576	0.03443314543
577	0.03435006984
578	0.03430028557
579	0.03425854751
580	0.03419882546
581	0.0341427049
582	0.03408182764
583	0.03395818831
584	0.03386664748
585	0.03377840007
586	0.03371125703
587	0.03363230751
588	0.03354741692
589	0.03347525704
590	0.03337832644
591	0.03333920644
592	0.03329441013
593	0.03319038282
594	0.03308235059
595	0.03300773965
596	0.03292285144
597	0.03286092151
598	0.03279266519
599	0.03268728101
600	0.03264792613
601	0.03260999238
602	0.03256768232
603	0.03253628724
604	0.03246673986
605	0.03230405441
606	0.03223688563
607	0.03218560698
608	0.03211618699
609	0.03194129563
610	0.03187683845
611	0.03185306374
612	0.03178470014
613	0.03173217873
614	0.03167730347
615	0.03162026671
616	0.03155159736
617	0.031517592
618	0.03148019325
619	0.03145073316
620	0.0313482164
621	0.03128726736
622	0.03123461819
623	0.03114373156
624	0.03110169388
625	0.03106304831
626	0.03093243588
627	0.030895992
628	0.03081952419
629	0.03076729911
630	0.03071338969
631	0.03065793424
632	0.03058386519
633	0.03053149439
634	0.03046927027
635	0.03040180194
636	0.03034356231
637	0.0302935436
638	0.03026679783
639	0.03022753167
640	0.03016580297
641	0.03010650985
642	0.03004007968
643	0.02998552569
644	0.02993726127
645	0.02989421439
646	0.02983239577
647	0.02977996508
648	0.02973188021
649	0.02968686316
650	0.0296219335
651	0.02953392185
652	0.02947606878
653	0.02942377667
654	0.02935354978
655	0.02930398528
656	0.02925579764
657	0.0291862535
658	0.02914125668
659	0.02908421147
660	0.02892546556
661	0.02887952117
662	0.0288400735
663	0.02879416383
664	0.02873947974
665	0.02868958227
666	0.02863008415
667	0.02860113605
668	0.02856570713
669	0.02851995851
670	0.02848213319
671	0.02843516446
672	0.02836953649
673	0.02830844756
674	0.02828315317
675	0.02820330958
676	0.02815533864
677	0.02810923181
678	0.02804078089
679	0.02799240951
680	0.02795927004
681	0.02789481222
682	0.02784520951
683	0.02781070588
684	0.02777060446
685	0.02769226558
686	0.02765720324
687	0.02758563531
688	0.02753340606
689	0.02747684029
690	0.02742331845
691	0.02737502319
692	0.02731304053
693	0.02725481015
694	0.0272172378
695	0.02718366184
696	0.02714667041
697	0.02710924251
698	0.02708634016
699	0.02703469667
700	0.02701229674
701	0.02696264954
702	0.02692293694
703	0.02686341697
704	0.02682730463
705	0.0267783299
706	0.02675380288
707	0.02670818876
708	0.02665441039
709	0.02662107364
710	0.02656321835
711	0.0265363036
712	0.02650951676
713	0.02646231364
714	0.02641896476
715	0.02637704685
716	0.02631522241
717	0.02628200732
718	0.0262630929
719	0.02622832051
720	0.02618226126
721	0.02614690351
722	0.02613083732
723	0.02607909174
724	0.02606794016
725	0.0260340603
726	0.02597330372
727	0.02594145751
728	0.02590683116
729	0.02586050226
730	0.02582640405
731	0.02579144397
732	0.02574294505
733	0.02572969559
734	0.02570261449
735	0.02566313605
736	0.02563074925
737	0.02558546699
738	0.02553973367
739	0.02548353757
740	0.02546273763
741	0.02542792599
742	0.02539962607
743	0.02536668796
744	0.02531408827
745	0.02528288043
746	0.02523701509
747	0.02518727246
748	0.02517412379
749	0.02511424298
750	0.0250853563
751	0.02504164538
752	0.02501682687
753	0.0249732915
754	0.02493817065
755	0.02490607364
756	0.0248691758
757	0.02482923896
758	0.02480311399
759	0.02475832409
760	0.02471434541
761	0.02466941477
762	0.02464094222
763	0.02461654333
764	0.02457197306
765	0.02456343066
766	0.02451266555
767	0.0244770182
768	0.02445797983
769	0.02442915341
770	0.02439950836
771	0.02435533593
772	0.02433116588
773	0.02429240854
774	0.02423001944
775	0.02419833643
776	0.02417168703
777	0.02411603366
778	0.02410559345
779	0.02408732342
780	0.02405286909
781	0.02402874756
782	0.02398977315
783	0.02395091248
784	0.02390069907
785	0.02387339445
786	0.02385691903
787	0.02380112003
788	0.02375819566
789	0.02371956018
790	0.02370963332
791	0.02366925265
792	0.02362122638
793	0.02357933818
794	0.02354254821
795	0.02349574069
796	0.02345717267
797	0.02343843091
798	0.02339309467
799	0.02335054511
