iter	Passed	Remaining
161	3319	13072
162	3347	13083
163	3373	13080
164	3398	13080
165	3424	13078
166	3446	13063
167	3471	13059
168	3498	13063
169	3522	13055
170	3550	13058
171	3578	13065
172	3603	13061
173	3628	13053
174	3656	13058
175	3678	13043
176	3706	13044
177	3729	13030
178	3756	13032
179	3782	13029
180	3807	13020
181	3828	13000
182	3852	12987
183	3873	12969
184	3895	12951
185	3923	12952
186	3954	12962
187	3985	12974
188	4038	13054
189	4074	13080
190	4133	13180
191	4259	13487
192	4319	13586
193	4351	13591
194	4383	13600
195	4407	13582
196	4438	13584
197	4467	13582
198	4499	13587
199	4522	13568
200	4564	13603
201	4587	13581
202	4613	13568
203	4650	13585
204	4685	13599
205	4717	13602
206	4746	13596
207	4772	13582
208	4799	13570
209	4830	13571
210	4855	13553
211	4885	13550
212	4918	13553
213	4946	13544
214	4973	13532
215	4997	13511
216	5024	13497
217	5051	13485
218	5082	13483
219	5104	13456
220	5129	13440
221	5158	13430
222	5198	13450
223	5232	13456
224	5259	13442
225	5287	13430
226	5314	13416
227	5338	13393
228	5362	13370
229	5384	13343
230	5427	13369
231	5466	13383
232	5501	13388
233	5527	13370
234	5555	13356
235	5575	13324
236	5598	13299
237	5624	13282
238	5655	13275
239	5682	13259
240	5710	13244
241	5741	13237
242	5779	13247
243	5818	13257
244	5846	13244
245	5878	13238
246	5900	13209
247	5926	13191
248	5952	13171
249	5974	13143
250	5997	13117
251	6021	13095
252	6044	13068
253	6065	13037
254	6083	13002
255	6103	12970
256	6128	12947
257	6151	12921
258	6171	12890
259	6190	12858
260	6211	12827
261	6232	12798
262	6254	12770
263	6273	12736
264	6292	12703
265	6313	12674
266	6333	12643
267	6353	12612
268	6372	12579
269	6391	12546
270	6411	12514
271	6434	12489
272	6453	12458
273	6474	12429
274	6492	12394
275	6514	12368
276	6534	12338
277	6558	12315
278	6578	12284
279	6598	12255
280	6618	12223
281	6639	12196
282	6658	12164
283	6678	12134
284	6700	12108
285	6720	12078
286	6743	12053
287	6763	12023
288	6781	11991
289	6802	11963
290	6826	11941
291	6848	11914
292	6868	11885
293	6888	11855
294	6907	11824
295	6928	11797
296	6952	11775
297	6972	11746
298	6992	11715
299	7011	11686
300	7030	11655
301	7048	11623
302	7066	11590
303	7084	11559
304	7104	11530
305	7124	11501
306	7142	11469
307	7159	11437
308	7177	11405
309	7195	11374
310	7214	11343
311	7232	11312
312	7249	11280
313	7269	11251
314	7289	11223
315	7309	11195
316	7333	11174
317	7353	11145
318	7375	11120
319	7396	11095
320	7416	11067
321	7438	11042
322	7459	11015
323	7478	10986
324	7501	10963
325	7521	10935
326	7540	10906
327	7556	10874
328	7575	10845
329	7595	10818
330	7616	10791
331	7637	10765
332	7663	10746
333	7685	10723
334	7715	10709
335	7740	10689
336	7763	10666
337	7783	10639
338	7802	10610
339	7821	10582
340	7841	10554
341	7858	10523
342	7875	10492
343	7894	10464
344	7912	10434
345	7933	10409
346	7951	10380
347	7972	10355
348	7993	10329
349	8014	10304
350	8040	10284
351	8071	10272
352	8095	10250
353	8115	10225
354	8137	10199
355	8157	10174
356	8184	10156
357	8207	10132
358	8235	10116
359	8268	10106
360	8296	10088
361	8330	10079
362	8364	10069
363	8392	10052
364	8422	10037
365	8447	10017
366	8474	9998
367	8507	9987
368	8540	9975
369	8568	9958
370	8594	9938
371	8624	9923
372	8651	9904
373	8676	9882
374	8708	9869
375	8739	9855
376	8761	9830
377	8783	9805
378	8810	9786
379	8837	9767
380	8867	9751
381	8891	9729
382	8920	9712
383	8946	9692
384	8972	9671
385	8998	9651
386	9024	9630
387	9051	9611
388	9075	9589
389	9103	9570
390	9127	9547
391	9153	9527
392	9182	9509
393	9204	9485
394	9230	9464
395	9255	9442
396	9284	9424
397	9306	9400
398	9334	9381
399	9362	9362
400	9387	9340
401	9415	9321
402	9436	9296
403	9462	9274
404	9486	9252
405	9512	9231
406	9538	9210
407	9566	9191
408	9587	9165
409	9610	9141
410	9633	9117
411	9653	9091
412	9689	9079
413	9724	9066
414	9754	9049
415	9778	9025
416	9801	9002
417	9820	8975
418	9841	8948
419	9859	8920
420	9878	8892
421	9897	8865
422	9918	8839
423	9943	8817
424	9971	8798
425	9999	8778
426	10024	8757
427	10048	8734
428	10069	8708
429	10096	8688
430	10122	8666
431	10149	8646
432	10175	8624
433	10207	8608
434	10233	8586
435	10259	8564
436	10285	8543
437	10309	8520
438	10331	8496
439	10360	8476
440	10389	8457
441	10421	8441
442	10447	8419
443	10473	8397
444	10500	8377
445	10526	8354
446	10552	8333
447	10577	8311
448	10607	8292
449	10631	8268
450	10658	8247
451	10687	8228
452	10710	8204
453	10732	8179
454	10754	8154
455	10779	8131
456	10806	8110
457	10835	8091
458	10861	8069
459	10884	8045
460	10906	8020
461	10925	7993
462	10948	7968
463	10974	7946
464	11000	7925
465	11025	7902
466	11077	7898
467	11107	7879
468	11131	7856
469	11164	7839
470	11199	7822
471	11226	7801
472	11254	7780
473	11279	7757
474	11306	7736
475	11334	7714
476	11358	7691
477	11383	7668
478	11417	7651
479	11444	7629
480	11471	7608
481	11499	7587
482	11521	7561
483	11541	7535
484	11569	7513
485	11596	7492
486	11622	7470
487	11646	7446
488	11678	7427
489	11709	7408
490	11730	7382
491	11754	7358
492	11773	7331
493	11801	7310
494	11825	7286
495	11851	7264
496	11875	7240
497	11903	7218
498	11925	7193
499	11955	7173
500	11975	7146
501	11998	7122
502	12021	7098
503	12047	7075
504	12073	7052
505	12098	7029
506	12123	7006
507	12147	6982
508	12172	6958
509	12203	6939
510	12225	6914
511	12249	6890
512	12271	6865
513	12298	6843
514	12320	6818
515	12343	6793
516	12366	6769
517	12389	6745
518	12414	6721
519	12440	6698
520	12464	6675
521	12488	6651
522	12511	6626
523	12532	6600
524	12573	6586
525	12609	6568
526	12643	6549
527	12674	6529
528	12698	6505
529	12719	6479
530	12740	6453
531	12760	6428
532	12779	6401
533	12801	6376
534	12829	6354
535	12857	6332
536	12881	6308
537	12905	6284
538	12931	6261
539	12955	6237
540	12985	6216
541	13007	6191
542	13031	6167
543	13056	6144
544	13079	6119
545	13105	6096
546	13127	6071
547	13154	6049
548	13179	6025
549	13206	6003
550	13235	5981
551	13258	5956
552	13286	5934
553	13313	5911
554	13339	5888
555	13366	5865
556	13393	5843
557	13417	5819
558	13442	5795
559	13462	5769
560	13487	5746
561	13509	5721
562	13536	5698
563	13558	5673
564	13583	5649
565	13605	5624
566	13628	5600
567	13654	5576
568	13679	5553
569	13702	5528
570	13723	5504
571	13752	5481
572	13778	5458
573	13814	5439
574	13840	5415
575	13861	5390
576	13887	5367
577	13917	5345
578	13939	5320
579	13963	5296
580	13984	5271
581	14010	5247
582	14037	5225
583	14066	5202
584	14090	5178
585	14115	5154
586	14137	5130
587	14159	5105
588	14178	5079
589	14200	5054
590	14219	5028
591	14238	5002
592	14257	4976
593	14276	4951
594	14295	4925
595	14315	4899
596	14335	4874
597	14360	4850
598	14380	4825
599	14398	4799
600	14418	4774
601	14437	4748
602	14457	4723
603	14476	4697
604	14495	4672
605	14513	4646
606	14531	4620
607	14549	4594
608	14569	4569
609	14590	4544
610	14616	4521
611	14642	4498
612	14667	4474
613	14696	4451
614	14722	4428
615	14743	4403
616	14765	4379
617	14787	4355
618	14808	4330
619	14829	4305
620	14849	4280
621	14875	4257
622	14898	4232
623	14921	4208
624	14941	4183
625	14962	4158
626	14983	4134
627	15009	4111
628	15031	4086
629	15053	4061
630	15071	4036
631	15091	4011
632	15112	3987
633	15132	3962
634	15153	3937
635	15170	3911
636	15189	3886
637	15209	3861
638	15227	3836
639	15250	3812
640	15271	3788
641	15291	3763
642	15308	3737
643	15335	3714
644	15364	3692
645	15390	3668
646	15419	3646
647	15447	3623
648	15472	3599
649	15498	3576
650	15522	3552
651	15547	3529
652	15570	3505
653	15595	3481
654	15619	3457
655	15644	3434
656	15667	3410
657	15692	3386
658	15715	3362
659	15735	3337
660	15756	3313
661	15776	3288
662	15797	3264
663	15822	3240
664	15847	3217
665	15872	3193
666	15903	3171
667	15929	3147
668	15960	3125
669	15988	3102
670	16019	3079
671	16044	3056
672	16066	3031
673	16093	3008
674	16120	2985
675	16144	2961
676	16170	2937
677	16192	2913
678	16216	2889
679	16240	2866
680	16260	2841
681	16282	2817
682	16307	2793
683	16331	2769
684	16356	2746
685	16386	2723
686	16412	2699
687	16437	2675
688	16462	2652
689	16490	2628
690	16516	2605
691	16542	2581
692	16567	2558
693	16589	2533
694	16610	2509
695	16632	2485
696	16654	2461
697	16674	2436
698	16692	2411
699	16711	2387
700	16729	2362
701	16750	2338
702	16767	2313
703	16786	2289
704	16805	2264
705	16825	2240
706	16853	2216
707	16878	2193
708	16902	2169
709	16929	2145
710	16953	2122
711	16981	2098
712	17008	2075
713	17033	2051
714	17062	2028
715	17085	2004
716	17110	1980
717	17133	1956
718	17158	1932
719	17183	1909
720	17206	1885
721	17231	1861
722	17258	1838
723	17282	1814
724	17309	1790
725	17339	1767
726	17361	1743
727	17383	1719
728	17407	1695
729	17430	1671
730	17456	1647
731	17479	1623
732	17506	1600
733	17531	1576
734	17556	1552
735	17575	1528
736	17596	1504
737	17620	1480
738	17640	1456
739	17662	1432
740	17689	1408
741	17719	1385
742	17747	1361
743	17774	1337
744	17799	1314
745	17824	1290
746	17849	1266
747	17873	1242
748	17900	1218
749	17920	1194
750	17942	1170
751	17963	1146
752	17986	1122
753	18014	1099
754	18041	1075
755	18067	1051
756	18090	1027
757	18115	1003
758	18146	980
759	18182	956
760	18214	933
761	18245	909
762	18279	886
763	18304	862
764	18335	838
765	18363	815
766	18398	791
767	18427	767
768	18455	743
769	18479	719
770	18501	695
771	18527	671
772	18552	648
773	18572	623
774	18598	599
775	18618	575
776	18637	551
777	18658	527
778	18682	503
779	18705	479
780	18730	455
781	18758	431
782	18782	407
783	18808	383
784	18838	359
785	18867	336
786	18892	312
787	18916	288
788	18940	264
789	18964	240
790	18988	216
791	19011	192
792	19032	168
793	19053	143
794	19072	119
795	19094	95
796	19114	71
797	19133	47
798	19152	23
799	19171	0
